caller,receiver,timestamp,duration_seconds,cell_tower
+91-98765-44444,+91-98765-33334,2026-07-02 12:04:38,1038,Pune
+91-98765-44444,+91-98765-11111,2026-06-19 13:59:29,1103,Mumbai
+91-98765-44444,+91-98765-11112,2026-06-03 19:11:41,211,Noida
+91-98765-11112,+91-98765-33333,2026-08-03 17:10:00,723,Delhi
+91-98765-22222,+91-98765-33334,2026-08-05 14:06:04,136,Delhi
+91-98765-44444,+91-98765-33333,2026-08-15 13:11:55,761,Pune
+91-98765-33333,+91-98765-11111,2026-07-27 07:44:19,1079,Jaipur
+91-98765-44444,+91-98765-33333,2026-07-13 04:38:29,1092,Noida
+91-98765-44444,+91-98765-11111,2026-07-01 03:19:26,685,Gurgaon
+91-98765-11111,+91-98765-11112,2026-06-07 04:34:53,904,Pune
+91-98765-11111,+91-98765-44444,2026-07-22 17:48:57,149,Delhi
+91-98765-44444,+91-98765-22222,2026-08-17 17:29:34,765,Pune
+91-98765-44444,+91-98765-33334,2026-07-05 03:22:29,337,Gurgaon
+91-98765-11112,+91-98765-11111,2026-08-01 12:08:52,577,Mumbai
+91-98765-22222,+91-98765-11111,2026-06-30 13:15:45,592,Delhi
+91-98765-11112,+91-98765-33333,2026-08-02 17:26:56,826,Pune
+91-98765-44444,+91-98765-22222,2026-05-31 15:04:37,836,Delhi
+91-98765-44444,+91-98765-33334,2026-06-23 12:53:43,267,Pune
+91-98765-44444,+91-98765-33333,2026-06-03 13:59:04,679,Delhi
+91-98765-44444,+91-98765-22222,2026-06-20 19:01:21,987,Noida
+91-98765-33334,+91-98765-11111,2026-07-23 14:44:07,1034,Delhi
+91-98765-44444,+91-98765-11111,2026-07-31 12:40:46,394,Delhi
+91-98765-44444,+91-98765-11111,2026-06-25 14:05:24,25,Gurgaon
+91-98765-44444,+91-98765-11111,2026-08-07 11:30:13,733,Noida
+91-98765-44444,+91-98765-11111,2026-06-16 06:59:20,1175,Mumbai
+91-98765-44444,+91-98765-11111,2026-07-29 21:52:06,1133,Pune
+91-98765-44444,+91-98765-33334,2026-07-17 10:17:00,830,Delhi
+91-98765-44444,+91-98765-33333,2026-08-05 09:01:05,562,Mumbai
+91-98765-44444,+91-98765-33334,2026-08-10 09:06:18,33,Noida
+91-98765-22222,+91-98765-11112,2026-08-24 04:21:05,805,Pune
+91-98765-11112,+91-98765-22222,2026-08-24 08:30:44,59,Delhi
+91-98765-44444,+91-98765-11111,2026-08-01 03:14:06,944,Noida
+91-98765-44444,+91-98765-33334,2026-08-19 11:37:28,516,Delhi
+91-98765-44444,+91-98765-11112,2026-06-02 13:15:56,1166,Delhi
+91-98765-33333,+91-98765-22222,2026-08-12 16:19:39,1069,Jaipur
+91-98765-11112,+91-98765-44444,2026-06-08 09:04:45,718,Jaipur
+91-98765-44444,+91-98765-11111,2026-07-11 02:36:56,565,Noida
+91-98765-44444,+91-98765-33334,2026-08-07 06:37:49,990,Jaipur
+91-98765-44444,+91-98765-11112,2026-07-26 10:46:02,132,Pune
+91-98765-44444,+91-98765-33334,2026-08-07 07:16:27,1066,Delhi
+91-98765-11112,+91-98765-11111,2026-06-11 00:35:03,683,Gurgaon
+91-98765-44444,+91-98765-11112,2026-06-29 13:07:21,573,Noida
+91-98765-33333,+91-98765-11111,2026-06-24 19:27:50,231,Mumbai
+91-98765-44444,+91-98765-33334,2026-07-29 21:41:13,1052,Delhi
+91-98765-11112,+91-98765-11111,2026-08-14 01:39:18,133,Noida
+91-98765-44444,+91-98765-22222,2026-07-16 05:13:58,715,Noida
+91-98765-44444,+91-98765-33333,2026-06-24 09:57:20,424,Gurgaon
+91-98765-44444,+91-98765-22222,2026-07-08 00:51:28,476,Mumbai
+91-98765-11112,+91-98765-22222,2026-07-28 07:19:08,832,Mumbai
+91-98765-33334,+91-98765-33333,2026-07-22 18:46:39,757,Pune
+91-98765-33334,+91-98765-33333,2026-08-09 19:16:23,897,Delhi
+91-98765-44444,+91-98765-11111,2026-07-06 00:07:50,307,Delhi
+91-98765-33333,+91-98765-11111,2026-06-26 09:54:02,962,Mumbai
+91-98765-33334,+91-98765-11111,2026-06-05 08:02:32,387,Gurgaon
+91-98765-33334,+91-98765-33333,2026-06-15 05:21:11,776,Mumbai
+91-98765-44444,+91-98765-33334,2026-07-04 19:00:28,393,Mumbai
+91-98765-44444,+91-98765-22222,2026-06-11 00:02:11,983,Jaipur
+91-98765-44444,+91-98765-11111,2026-06-14 15:20:01,730,Mumbai
+91-98765-44444,+91-98765-11112,2026-07-02 20:46:39,1016,Noida
+91-98765-44444,+91-98765-33334,2026-07-27 20:14:11,904,Pune
+91-98765-44444,+91-98765-22222,2026-08-10 13:34:25,133,Delhi
+91-98765-44444,+91-98765-33333,2026-08-10 10:48:38,901,Delhi
+91-98765-44444,+91-98765-11111,2026-06-15 05:38:39,638,Gurgaon
+91-98765-44444,+91-98765-33333,2026-06-10 11:18:26,715,Pune
+91-98765-44444,+91-98765-22222,2026-07-11 01:02:56,124,Gurgaon
+91-98765-44444,+91-98765-33333,2026-07-29 18:59:05,10,Noida
+91-98765-11112,+91-98765-33334,2026-07-28 21:46:28,427,Gurgaon
+91-98765-11111,+91-98765-33333,2026-08-07 10:23:21,897,Gurgaon
+91-98765-44444,+91-98765-33334,2026-06-07 18:36:49,565,Noida
+91-98765-44444,+91-98765-11111,2026-08-19 17:23:12,178,Pune
+91-98765-22222,+91-98765-11112,2026-07-01 17:03:02,428,Noida
+91-98765-22222,+91-98765-11111,2026-08-11 15:06:33,201,Noida
+91-98765-44444,+91-98765-11112,2026-08-18 07:28:23,654,Mumbai
+91-98765-44444,+91-98765-33333,2026-06-19 21:58:06,351,Jaipur
+91-98765-44444,+91-98765-11111,2026-07-12 08:44:59,382,Jaipur
+91-98765-33333,+91-98765-33334,2026-08-17 18:17:56,1135,Jaipur
+91-98765-22222,+91-98765-44444,2026-07-10 01:57:05,1040,Noida
+91-98765-11111,+91-98765-22222,2026-08-21 19:27:27,156,Gurgaon
+91-98765-44444,+91-98765-11111,2026-07-15 07:35:48,882,Gurgaon
+91-98765-44444,+91-98765-33333,2026-08-08 07:37:06,376,Mumbai
+91-98765-33333,+91-98765-11111,2026-06-06 13:51:27,912,Jaipur
+91-98765-22222,+91-98765-11112,2026-06-08 12:18:37,818,Mumbai
+91-98765-11112,+91-98765-11111,2026-07-07 23:42:51,804,Jaipur
+91-98765-44444,+91-98765-33334,2026-07-10 02:58:48,423,Noida
+91-98765-44444,+91-98765-33334,2026-06-06 04:25:42,485,Gurgaon
+91-98765-11111,+91-98765-44444,2026-06-09 07:36:01,494,Gurgaon
+91-98765-44444,+91-98765-22222,2026-06-23 00:22:12,1122,Noida
+91-98765-44444,+91-98765-11112,2026-07-07 08:05:19,727,Jaipur
+91-98765-44444,+91-98765-33334,2026-07-07 01:42:36,1161,Noida
+91-98765-11112,+91-98765-33333,2026-06-01 00:13:42,271,Noida
+91-98765-44444,+91-98765-33333,2026-08-24 19:43:08,1069,Delhi
+91-98765-44444,+91-98765-33334,2026-06-24 06:07:33,974,Noida
+91-98765-44444,+91-98765-11112,2026-07-12 15:42:26,563,Mumbai
+91-98765-44444,+91-98765-11112,2026-06-07 15:12:47,193,Noida
+91-98765-11111,+91-98765-33333,2026-05-28 19:20:03,1064,Gurgaon
+91-98765-44444,+91-98765-11112,2026-06-29 21:30:26,281,Noida
+91-98765-44444,+91-98765-33334,2026-07-21 10:24:42,746,Delhi
+91-98765-44444,+91-98765-33333,2026-08-17 23:21:04,748,Mumbai
+91-98765-11112,+91-98765-33334,2026-06-12 00:15:40,347,Delhi
+91-98765-44444,+91-98765-33333,2026-08-25 13:37:13,99,Pune
+91-98765-44444,+91-98765-11112,2026-07-29 19:38:37,688,Mumbai
+91-98765-22222,+91-98765-33333,2026-07-02 03:32:36,950,Mumbai
+91-98765-44444,+91-98765-22222,2026-05-28 18:36:51,850,Mumbai
+91-98765-44444,+91-98765-33334,2026-06-06 17:40:30,316,Noida
+91-98765-44444,+91-98765-33334,2026-06-17 00:36:41,1085,Delhi
+91-98765-11112,+91-98765-44444,2026-08-17 01:03:42,37,Gurgaon
+91-98765-44444,+91-98765-11112,2026-07-03 20:23:16,1079,Noida
+91-98765-44444,+91-98765-22222,2026-08-22 19:16:26,357,Jaipur
+91-98765-44444,+91-98765-22222,2026-08-15 08:05:45,1161,Pune
+91-98765-44444,+91-98765-11111,2026-07-18 12:12:45,974,Mumbai
+91-98765-44444,+91-98765-33334,2026-08-21 18:59:00,865,Delhi
+91-98765-44444,+91-98765-11111,2026-07-01 06:13:01,384,Pune
+91-98765-44444,+91-98765-22222,2026-06-10 23:05:34,241,Mumbai
+91-98765-22222,+91-98765-33333,2026-08-20 21:09:54,499,Delhi
+91-98765-44444,+91-98765-22222,2026-07-24 15:31:46,1175,Pune
+91-98765-22222,+91-98765-33333,2026-07-27 20:27:15,114,Noida
+91-98765-44444,+91-98765-11112,2026-06-12 03:40:22,100,Mumbai
+91-98765-33333,+91-98765-44444,2026-07-04 23:49:59,813,Pune
+91-98765-33334,+91-98765-44444,2026-06-07 10:21:47,294,Mumbai
+91-98765-11111,+91-98765-22222,2026-07-21 02:43:38,230,Pune
+91-98765-33333,+91-98765-22222,2026-08-02 19:07:03,605,Pune
+91-98765-44444,+91-98765-33333,2026-05-31 16:49:40,699,Noida
+91-98765-33333,+91-98765-44444,2026-06-15 11:18:52,459,Delhi
+91-98765-44444,+91-98765-11112,2026-08-08 08:27:32,1131,Noida
+91-98765-44444,+91-98765-11112,2026-08-13 14:24:46,447,Jaipur
+91-98765-33334,+91-98765-44444,2026-08-04 04:04:31,1025,Jaipur
+91-98765-44444,+91-98765-33333,2026-08-04 11:06:06,379,Pune
+91-98765-44444,+91-98765-22222,2026-08-10 13:45:58,811,Gurgaon
+91-98765-44444,+91-98765-22222,2026-06-17 11:25:50,1086,Delhi
+91-98765-11111,+91-98765-33334,2026-08-02 03:01:50,1150,Jaipur
+91-98765-44444,+91-98765-22222,2026-06-26 00:13:21,92,Gurgaon
+91-98765-11111,+91-98765-22222,2026-08-08 04:02:02,457,Noida
+91-98765-44444,+91-98765-22222,2026-07-06 00:28:42,1006,Pune
+91-98765-44444,+91-98765-33333,2026-07-15 12:45:52,158,Gurgaon
+91-98765-44444,+91-98765-33334,2026-08-08 05:59:20,1038,Gurgaon
+91-98765-44444,+91-98765-11112,2026-07-21 05:15:08,225,Delhi
+91-98765-44444,+91-98765-33334,2026-06-24 06:24:53,822,Delhi
+91-98765-44444,+91-98765-11111,2026-07-13 13:49:29,1195,Noida
